title,author,description,series_details,genres,avg_rating,num_ratings,num_reviews,pages_format,publication_info
The Stolen Heir,['Holly Black'],"A runaway queen. A reluctant prince. And a quest that may destroy them both. Eight years have passed since the Battle of the Serpent. But in the icy north, Lady Nore of the Court of Teeth has reclaimed the Ice Needle Citadel. There, she is using an ancient relic to create monsters of stick and snow who will do her bidding and exact her revenge. Suren, child queen of the Court of Teeth, and the one person with power over her mother, fled to the human world. There, she lives feral in the woods. Lonely, and still haunted by the merciless torments she endured in the Court of Teeth, she bides her time by releasing mortals from foolish bargains. She believes herself forgotten until the storm hag, Bogdana chases her through the night streets. Suren is saved by none other than Prince Oak, heir to Elfhame, to whom she was once promised in marriage and who she has resented for years.  Now seventeen, Oak is charming, beautiful, and manipulative. He’s on a mission that will lead him into the north, and he wants Suren’s help. But if she agrees, it will mean guarding her heart against the boy she once knew and a prince she cannot trust, as well as confronting all the horrors she thought she left behind.#1 New York Times bestselling author Holly Black returns to the opulent world of Elfhame in the first book in a thrilling new duology, following Jude's brother Oak, and the changeling queen, Suren.",Book 1 in the The Stolen Heir Duology series,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'Young Adult Fantasy', 'Fiction', 'Magic']",4.01,86158,15610,"356 pages, Hardcover","First published January 3, 2023"
The Great Transition,['Nick Fuller Googins'],"For fans of Station Eleven and The Ministry for the Future, this richly imaginative, immersive, and electrifyingly relevant climate utopia novel follows a family navigating a crisis both personal and political, illuminating humanity’s capacity for change.What happens after we save the world?In the near future, humanity hasn’t avoided the worst of climate change—wildfires, rising oceans, mass migration, and skyrocketing inequality have become the daily reality. But just when it seems that it can’t get any worse, remarkably, a movement of workers, migrants, and refugees inspires the world to band together, save the planet, and rebuild a society for all. This is The Great Transition.Teenager Emi Vargas was born post-Transition, into a utopia compared to the world known by previous generations. Her parents both suffered and sacrificed, playing pivotal roles in The Great Transition, but now their marriage is deteriorating. And when Emi’s mother goes missing amidst a shocking new political upheaval, Emi’s illusion of comfort and safety is shattered.Alternating between Emi’s suspenseful search for her mother in the present and The Great Transition when her mother and father battled climate devastation and fell in love, this astonishing debut is a remarkable story of struggle, change, and hope.",,"['Fiction', 'Science Fiction', 'Dystopia', 'Climate Change Fiction', 'Speculative Fiction', 'Climate Change', 'Adult']",3.83,1730,396,"352 pages, Hardcover","First published August 15, 2023"
Holly,['Stephen King'],"Holly Gibney, one of Stephen King’s most compelling and ingeniously resourceful characters, returns in this thrilling novel to solve the gruesome truth behind multiple disappearances in a midwestern town.“Sometimes the universe throws you a rope.” — BILL HODGESStephen King’s Holly marks the triumphant return of beloved King character Holly Gibney. Readers have witnessed Holly’s gradual transformation from a shy (but also brave and ethical) recluse in Mr. Mercedes to Bill Hodges’s partner in Finders Keepers to a full-fledged, smart, and occasionally tough private detective in The Outsider. In King’s new novel, Holly is on her own, and up against a pair of unimaginably depraved and brilliantly disguised adversaries.When Penny Dahl calls the Finders Keepers detective agency hoping for help locating her missing daughter, Holly is reluctant to accept the case. Her partner, Pete, has Covid. Her (very complicated) mother has just died. And Holly is meant to be on leave. But something in Penny Dahl’s desperate voice makes it impossible for Holly to turn her down.Mere blocks from where Bonnie Dahl disappeared live Professors Rodney and Emily Harris. They are the picture of bourgeois respectability: married octogenarians, devoted to each other, and semi-retired lifelong academics. But they are harboring an unholy secret in the basement of their well-kept, book-lined home, one that may be related to Bonnie’s disappearance. And it will prove nearly impossible to discover what they are up to: they are savvy, they are patient, and they are ruthless.Holly must summon all her formidable talents to outthink and outmaneuver the shockingly twisted professors in this chilling new masterwork from Stephen King.",Book 3 in the Holly Gibney series,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Audiobook', 'Mystery Thriller']",4.16,76777,9223,"449 pages, Hardcover","First published September 5, 2023"
How to Sell a Haunted House,['Grady Hendrix'],"Grady Hendrix takes on the haunted house in a thrilling new novel that explores the way your past—and your family—can haunt you like nothing else. When Louise finds out her parents have died, she dreads going home. She doesn’t want to leave her daughter with her ex and fly to Charleston. She doesn’t want to deal with her family home, stuffed to the rafters with the remnants of her father’s academic career and her mother’s lifelong obsession with puppets and dolls. She doesn’t want to learn how to live without the two people who knew and loved her best in the world. Most of all, she doesn’t want to deal with her brother, Mark, who never left their hometown, gets fired from one job after another, and resents her success. Unfortunately, she’ll need his help to get the house ready for sale because it’ll take more than some new paint on the walls and clearing out a lifetime of memories to get this place on the market.  But some houses don’t want to be sold, and their home has other plans for both of them…",,"['Horror', 'Fiction', 'Thriller', 'Paranormal', 'Audiobook', 'Mystery', 'Adult']",3.7,90476,16090,"419 pages, Hardcover","First published January 17, 2023"
A House with Good Bones,['T. Kingfisher'],"A haunting Southern Gothic from an award-winning master of suspense, A House With Good Bones explores the dark, twisted roots lurking just beneath the veneer of a perfect home and family.""Mom seems off.""Her brother's words echo in Sam Montgomery's ear as she turns onto the quiet North Carolina street where their mother lives alone.She brushes the thought away as she climbs the front steps. Sam's excited for this rare extended visit, and looking forward to nights with just the two of them, drinking boxed wine, watching murder mystery shows, and guessing who the killer is long before the characters figure it out.But stepping inside, she quickly realizes home isn’t what it used to be. Gone is the warm, cluttered charm her mom is known for; now the walls are painted a sterile white. Her mom jumps at the smallest noises and looks over her shoulder even when she’s the only person in the room. And when Sam steps out back to clear her head, she finds a jar of teeth hidden beneath the magazine-worthy rose bushes, and vultures are circling the garden from above.To find out what’s got her mom so frightened in her own home, Sam will go digging for the truth. But some secrets are better left buried.",,"['Horror', 'Fantasy', 'Fiction', 'Gothic', 'Mystery', 'Paranormal', 'Adult']",3.7,29319,5384,"247 pages, Hardcover","First published March 28, 2023"
Vampires of El Norte,['Isabel Cañas'],"Vampires and vaqueros face off on the Texas-Mexico border in this supernatural western from the author of The Hacienda.As the daughter of a rancher in 1840s Mexico, Nena knows a thing or two about monsters—her home has long been threatened by tensions with Anglo settlers from the north. But something more sinister lurks near the ranch at night, something that drains men of their blood and leaves them for dead.Something that once attacked Nena nine years ago.Believing Nena dead, Néstor has been on the run from his grief ever since, moving from ranch to ranch working as a vaquero. But no amount of drink can dispel the night terrors of sharp teeth; no woman can erase his childhood sweetheart from his mind.When the United States attacks Mexico in 1846, the two are brought abruptly together on the road to war: Nena as a curandera, a healer striving to prove her worth to her father so that he does not marry her off to a stranger, and Néstor as a member of the auxiliary cavalry of ranchers and vaqueros. But the shock of their reunion—and Nena’s rage at Néstor for seemingly abandoning her long ago—is quickly overshadowed by the appearance of a nightmare made flesh.And unless Nena and Néstor work through their past and face the future together, neither will survive to see the dawn.",,"['Horror', 'Historical Fiction', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Gothic']",3.92,17684,3701,"371 pages, Hardcover","First published August 15, 2023"
Rouge,['Mona Awad'],"From the critically acclaimed author of Bunny comes a horror-tinted, gothic fairy tale about a lonely dress shop clerk whose mother’s unexpected death sends her down a treacherous path in pursuit of youth and beauty. Can she escape her mother’s fate—and find a connection that is more than skin deep?For as long as she can remember, Belle has been insidiously obsessed with her skin and skincare videos. When her estranged mother Noelle mysteriously dies, Belle finds herself back in Southern California, dealing with her mother’s considerable debts and grappling with lingering questions about her death. The stakes escalate when a strange woman in red appears at the funeral, offering a tantalizing clue about her mother’s demise, followed by a cryptic video about a transformative spa experience. With the help of a pair of red shoes, Belle is lured into the barbed embrace of La Maison de Méduse, the same lavish, culty spa to which her mother was devoted. There, Belle discovers the frightening secret behind her (and her mother’s) obsession with the mirror—and the great shimmering depths (and demons) that lurk on the other side of the glass. Snow White meets Eyes Wide Shut in this surreal descent into the dark side of beauty, envy, grief, and the complicated love between mothers and daughters. With black humor and seductive horror, Rouge explores the cult-like nature of the beauty industry—as well as the danger of internalizing its pitiless gaze. Brimming with California sunshine and blood-red rose petals, Rouge holds up a warped mirror to our relationship with mortality, our collective fixation with the surface, and the wondrous, deep longing that might lie beneath.",,"['Horror', 'Fiction', 'Gothic', 'Thriller', 'Contemporary', 'Literary Fiction', 'Adult']",3.62,15919,4197,"384 pages, Hardcover","First published September 12, 2023"
My Darling Girl,['Jennifer  McMahon'],"A spine-tingling psychological thriller about a woman who, after taking in her dying, alcoholic mother, begins to suspect demonic possession is haunting her family.Alison has never been a fan of Christmas. But with it right around the corner and her husband busily decorating their cozy Vermont home, she has no choice but to face it. Then she gets the call.Mavis, Alison’s estranged mother, has been diagnosed with cancer and has only weeks to live. She wants to spend her remaining days with her daughter, son-in-law, and two granddaughters. But Alison grew up with her mother’s alcoholism and violent abuse and is reluctant to unearth these traumatic memories. Still, she eventually agrees to take in Mavis, hoping that she and her mother could finally heal and have the relationship she’s always dreamed of.But when mysterious and otherworldly things start happening upon Mavis’s arrival, Alison begins to suspect her mother is not quite who she seems. And as the holiday festivities turn into a nightmare, she must confront just how far she is willing to go to protect her family.",,"['Horror', 'Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Adult']",3.78,10620,1851,"320 pages, Hardcover","First published October 3, 2023"
The September House,['Carissa Orlando'],"A woman is determined to stay in her dream home even after it becomes a haunted nightmare in this compulsively readable, twisty, and layered debut novel.When Margaret and her husband Hal bought the large Victorian house on Hawthorn Street—for sale at a surprisingly reasonable price—they couldn’t believe they finally had a home of their own. Then they discovered the hauntings. Every September, the walls drip blood. The ghosts of former inhabitants appear, and all of them are terrified of something that lurks in the basement. Most people would flee. Margaret is not most people. Margaret is staying. It’s her house. But after four years Hal can’t take it anymore, and he leaves abruptly. Now, he’s not returning calls, and their daughter Katherine—who knows nothing about the hauntings—arrives, intent on looking for her missing father. To make things worse, September has just begun, and with every attempt Margaret and Katherine make at finding Hal, the hauntings grow more harrowing, because there are some secrets the house needs to keep.",,"['Horror', 'Fiction', 'Thriller', 'Paranormal', 'Mystery', 'Adult', 'Audiobook']",3.94,22881,4220,"344 pages, Hardcover","First published September 5, 2023"
Silver Nitrate,['Silvia Moreno-Garcia'],"From the New York Times bestselling author of The Daughter of Doctor Moreau and Mexican Gothic comes a fabulous meld of Mexican horror movies and Nazi occultism: a dark thriller about the curse that haunts a legendary lost film--and awakens one woman's hidden powers.Montserrat has always been overlooked. She’s a talented sound editor, but she’s left out of the boys’ club running the film industry in ’90s Mexico City. And she’s all but invisible to her best friend, Tristán, a charming if faded soap opera star, though she’s been in love with him since childhood.Then Tristán discovers his new neighbor is the cult horror director Abel Urueta, and the legendary auteur claims he can change their lives—even if his tale of a Nazi occultist imbuing magic into highly volatile silver nitrate stock sounds like sheer fantasy. The magic film was never finished, which is why, Urueta swears, his career vanished overnight. He is cursed.Now the director wants Montserrat and Tristán to help him shoot the missing scene and lift the curse . . . but Montserrat soon notices a dark presence following her, and Tristán begins seeing the ghost of his ex-girlfriend.As they work together to unravel the mystery of the film and the obscure occultist who once roamed their city, Montserrat and Tristán may find that sorcerers and magic are not only the stuff of movies.",,"['Horror', 'Fiction', 'Historical Fiction', 'Mystery', 'Thriller', 'Fantasy', 'Adult']",3.64,16719,3720,"323 pages, Hardcover","First published July 18, 2023"
