title,reviewer_name,num_reviews,num_followers,star_rating,review_text,num_likes,num_comments
The Stolen Heir,Emily May,"2,031",310k,4,"Not quite The Cruel Prince but I enjoyed this a lot.I loved being back in this world. I loved the writing, the familial angst/trauma, the riddles and twists and turns (though I guessed some). I enjoyed Wren as a narrator, though not as much as Jude, but I doubt I will ever come to see Oak as sexy. He's stuck as a little boy in my mind. Also-- hairy feet and hooves? Not my jam 😂Also, the ending was exciting. I await the sequel.","1,206",3
The Stolen Heir,jessica,"2,563",42.2k,4,"hmm. i didnt obsess over this one like i did with the original trilogy.while i did enjoy the characters and the writing, i actually was a little bored of the storyline at times. HOWEVER, the plot takes a VERY compelling turn towards the end that has me highly interested in how the story/series will progress. so i guess thats something!overall, i do think this is a good expansion to the world of elfhame. so heres hoping the story is a little more exciting in the next installment (especially since its going to be a duology).↠ 3.5 stars",654,0
The Stolen Heir,katia,306,526,3,"3.5 ★oak was a disappointment, but suren!! i loved her so much. “I can’t pretend that I don’t like the sound of him screaming my name.”hot girl shit. can’t wait for book 2 🫶 pre-reading review:oh my god you do not even know how excited i am for this. we better get jude & cardan appearancesupdate: we have a cover!!","1,233",0
The Stolen Heir,cor,269,74,,OMG IM SHAKING IM SO EXCITED IM GOING TO CRY I HOPE WE GET JUDE AND CARDAN APPERANCESupdate: I GOT MY BOOK!! REVIEW COMING SOONNNupdate #2: i’m so heavily putting off reading this because i know im gonna make it my whole personality,610,0
The Stolen Heir,ale (semi hiatus) ‧ ₊˚୨ ♡ ୧ ₊˚,438,"2,598",,"WE HAVE A COVER, OMG, WE HAVE A COVER!!!!I NEED THIS MORE THAN THE AIR ITSELF. WE'RE GOING BACK TO ELFHAME. OMG!!!! I NEED HELP",746,0
The Stolen Heir,Isabelle Reneé Reads,144,366,,"if Suren doesn't threaten Oak with a dagger while he tells her he can't stop thinking about her, neither of them are worthy of carrying on the Greenbriar legacy 🤚",747,0
The Stolen Heir,madeline ,111,18,3,Every single mention of Oak’s hooves was a jumpscare,"1,707",4
The Stolen Heir,Haley pham,81,143k,4,4.5 stars ⭐️🧚🏻🥹,"1,432",0
The Stolen Heir,Tara ☽,310,278,3,"Oak be like ""clop clop clop"" (he has hooves btw)",578,0
The Stolen Heir,Zoe,338,"1,783",,jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan jurdan,567,0
The Stolen Heir,myo ⋆｡˚ ❀ *,958,"7,414",3,SCREAMING AND THROWING UP!!!,456,0
The Stolen Heir,Robin,342,"2,457",4,okay now i know holly black did not just do that to me,454,0
